ID,CDRH1_mean,CDRH1_std,CDRH1_median,CDRH1_max,CDRH1_min,CDRH2_mean,CDRH2_std,CDRH2_median,CDRH2_max,CDRH2_min,CDRH3_mean,CDRH3_std,CDRH3_median,CDRH3_max,CDRH3_min,CDRL1_mean,CDRL1_std,CDRL1_median,CDRL1_max,CDRL1_min,CDRL2_mean,CDRL2_std,CDRL2_median,CDRL2_max,CDRL2_min,CDRL3_mean,CDRL3_std,CDRL3_median,CDRL3_max,CDRL3_min
010101010101010101_pdb,0.583314216997245,0.12601442321710604,0.6465707963460777,0.6941732623310776,0.33146037631217284,0.558483838689208,0.1576008375159817,0.565919749621727,0.7875388860935355,0.29452716111121025,0.6051518372333119,0.21960049327030823,0.6106249917409433,0.9549704877063606,0.2701762803710309,0.46030723151920644,0.04487529170405866,0.4584705360278415,0.5237035699042423,0.3973109630110652,0.46956868077932096,0.011357606485926194,0.4686389954209678,0.4839203734067247,0.4561466735102704,0.5082969846904308,0.15384834557487972,0.5375306533329564,0.6763781360849082,0.22564645383169027
010101010101010102_pdb,0.6788752496511117,0.1651030482271371,0.6877163438248279,0.9126839535052752,0.39462803624809334,0.5900673785127206,0.1983853452682946,0.5620178094022563,0.8816222029287065,0.2984857873233986,0.6525029186816166,0.23897695395755036,0.6395012028845883,1.0624581142137186,0.2941440315896908,0.502776622713844,0.05094203355352782,0.5027182954561411,0.5784911164185289,0.42131857854104127,0.4006486253301653,0.031920878158787656,0.40248863919402844,0.4387910614270286,0.3606661753694389,0.5452185011045981,0.18568859874508814,0.5700169485330812,0.7737118879803269,0.21211590364169366
010101010101010201_pdb,0.6058465658442869,0.1320878364114938,0.640278985302016,0.7659092379631669,0.3515771829439161,0.6211968672213042,0.18016128790010455,0.623055609332129,0.909822701373302,0.3480168284826597,0.6373183672043902,0.2670336681818265,0.588968226809253,1.076653234594534,0.2627679060731788,0.43954757259320903,0.04464311164839263,0.4628541567711614,0.48157183379670554,0.3608402799277989,0.4219357717668595,0.012529645338898946,0.42406939573982005,0.43610292692733055,0.4056349926334278,0.5281293474780209,0.16494090407378234,0.5566305395965534,0.7152323167549235,0.23922941168408624
010101010101010202_pdb,0.6004142529916339,0.14498123897711243,0.6206897862980363,0.8102535102115286,0.3648262006179109,0.549906529191133,0.14921503468377753,0.5501844007522567,0.7633034451838384,0.3192506879631589,0.6192773600331694,0.23775938066270588,0.5609166730196041,1.0506651469987167,0.2887773657462776,0.42876323081836804,0.0388591303406784,0.4455982515547664,0.47688853980927076,0.3729893361156751,0.4148143373608615,0.009327039010900718,0.4212282572467289,0.4215891963323117,0.4016255585035439,0.5114028919278201,0.14992630796449155,0.5360098344325434,0.7058423496896478,0.23058429586836224
010101010101010301_pdb,0.5485586606992708,0.13904600238275586,0.5586136761952123,0.7825024021079724,0.31287280321615013,0.5502304946447263,0.14946191134568892,0.5638284856861615,0.7572018504393475,0.28517546750371836,0.6177411363391109,0.24091672103063175,0.6205856431629834,1.0146404742382948,0.25958397200483097,0.43173193764449413,0.03968157326869054,0.45157260221943285,0.4679637807838516,0.3754700169245829,0.49366225936682023,0.0075314817513568895,0.48882108440622507,0.5042991169745669,0.4878665767196686,0.53603672251606,0.16683155178578193,0.5824776589874163,0.7387562516276678,0.2361251292939776
010101010101010302_pdb,0.5691683579733067,0.11968466733995677,0.5834705715742317,0.7274373920853698,0.33147471317772365,0.5386471059061195,0.15175983901290713,0.5609537250855839,0.7431239678581817,0.2700158116760792,0.5361077800305504,0.19770717029646953,0.5075891816730504,0.8881216325895032,0.23888975409727592,0.43661106997187377,0.040667417326442856,0.44955470004248616,0.48371891238707265,0.3682766053343696,0.46468643647227,0.017627332581251827,0.4733601112545015,0.4805896535579622,0.44010954460434626,0.5031908137350553,0.15870226210464153,0.549334024019929,0.6910280970303614,0.23257983759983095
010101010101010401_pdb,0.5488918931114928,0.10360506530031457,0.5745049710268897,0.6977753315182341,0.3518873195897315,0.5742579622062614,0.1848238476736931,0.5704878869069375,0.8595957532178091,0.3018232341524255,0.5334511745997714,0.17444192352921534,0.5478609503677443,0.7796629123155863,0.25611968430678633,0.44719807005673456,0.03452785050878621,0.4446177943891622,0.4917168592948844,0.39835931247777684,0.4436677020727792,0.02301778358623997,0.4414053810856732,0.47292161082548967,0.4166761143071748,0.484624953181064,0.16387546384263343,0.5135874023066028,0.6915166483099937,0.20806343136424862
010101010101010402_pdb,0.5907745387802903,0.16777789424171866,0.5903492282291081,0.8326825684036416,0.29070247672674815,0.48965932405230106,0.12762900594493934,0.5023388636997843,0.6633686238643346,0.27964492941927765,0.5419638211741926,0.19259072860408333,0.5355711085476035,0.8748308137541385,0.2537712577856443,0.4344228410541699,0.053200182185078694,0.41601485399518534,0.5269904935783639,0.3725052705213884,0.38191069137072153,0.025593881726937186,0.36539831270602463,0.41806089773009425,0.36227286367604566,0.4635090234323969,0.13106519993243004,0.4859409858309388,0.6132335080037907,0.21651502753053808
010101010101020101_pdb,0.5726463811397964,0.11380776369583742,0.6077630187850298,0.6970231699672168,0.3482958509330802,0.5809757463399154,0.1873771647600754,0.5736702167872125,0.8637111662854902,0.30570114212552174,0.6177841390012561,0.23824891253814318,0.6007398190792547,1.0365634865292088,0.2653576251145173,0.535733724122546,0.05338074438356052,0.5279929140174953,0.6226038758522616,0.4759670974995688,0.3677037154585314,0.02574001149071186,0.35326298216406465,0.403862312938895,0.34598585127263465,0.4745648429319874,0.1406925465652943,0.47055374596394617,0.6542944431057842,0.24308730283479335
010101010101020102_pdb,0.5864161180394887,0.13019217809419661,0.6077926542749597,0.8029103506984455,0.3593069961881122,0.5218122386721764,0.12492963466791195,0.5346584203953504,0.7028499780298098,0.3111688584481271,0.6649323474414273,0.26140920543858653,0.6165339357134448,1.091472333424251,0.28109215541064286,0.4592341951691376,0.04433486091889057,0.45368918869148556,0.5213773913770952,0.4057721958538531,0.41404700099966624,0.021527206796244515,0.4142109118776668,0.4403299995448941,0.38760009157643777,0.49716535796699457,0.1445872724939156,0.5012661103703709,0.6756898724857565,0.22826680723894752
