ID,type,CDRH1,CDRH2,CDRH3,CDRL1,CDRL2,CDRL3
030201010201010201_pdb,mean,0.9270292469111286,0.8705494185280385,1.3115952746812425,0.746720066288274,0.7306178893509374,0.9342088434838419
030201010201010201_pdb,max,2.1913445184655087,2.7445149133440547,3.151630105385181,1.577620610385684,1.7439972811165516,2.223826046809866
030201010201010201_pdb,min,0.25922134998461377,0.18803056696687803,0.3412155450771971,0.24204478791973327,0.19616589361592582,0.1995377683686619
030201010201010201_pdb,std,0.29074046699303624,0.3684056052227017,0.5155337723515031,0.2263815805444799,0.23628155664522002,0.34524241643507986
020102010202030302_pdb,mean,0.9813224258619422,0.9490131804115132,1.0477614088527973,0.7017707271705197,0.6489724118024347,0.9227978981491737
020102010202030302_pdb,max,2.1292804598772914,2.6945437700704424,2.646343698696007,1.6797106878807435,1.5476366706170275,2.0434699762153503
020102010202030302_pdb,min,0.2980444980156107,0.20256646543726123,0.25575417959957386,0.20809691229164548,0.20960558221643963,0.21549915167147543
020102010202030302_pdb,std,0.30392308971204274,0.35617953055263807,0.3898364655272184,0.21613715397072594,0.21677189411265263,0.3348522659007145
030201020201040101_pdb,mean,1.0018163081873566,0.9278444110067103,1.1164507690081247,0.6804105394154395,0.6568171734486764,0.9550407798864247
030201020201040101_pdb,max,2.3383965513805607,2.0603778467861433,2.829397976976586,1.381703611961117,1.5269174513651382,2.660653920526185
030201020201040101_pdb,min,0.36706797428753524,0.2741696101063709,0.28838431074111365,0.24886636147929947,0.18044869962937543,0.13654091787280997
030201020201040101_pdb,std,0.32971962928211,0.3238630190804666,0.36885655109493676,0.19724003626847025,0.21959350991357326,0.3673864867289544
030102020201040102_pdb,mean,1.0676768096300016,0.8870447771955011,1.181764102483929,0.7402258680636457,0.658595625121077,0.965259948089196
030102020201040102_pdb,max,2.8015608345303322,2.6812686368220104,2.913282708803231,1.4445915053741425,1.484476091888675,2.2151893218392633
030102020201040102_pdb,min,0.28628271799504934,0.2299139328263996,0.3031552390181026,0.2426941098932158,0.1688889107076014,0.30901522558941275
030102020201040102_pdb,std,0.37224153982883607,0.36280292715485585,0.42235985822206185,0.22502528012521922,0.21467126439483067,0.35086087511877784
030102020203030201_pdb,mean,0.9054108320610454,0.9246497505440913,1.1483338262251337,0.7449699026728517,0.6625074278481139,0.8747757907952785
030102020203030201_pdb,max,2.215017402787661,2.3114240325204607,3.3059203029514674,1.7830599196222203,1.6717662190094655,2.3870110550325694
030102020203030201_pdb,min,0.2950231848757548,0.2226231255363894,0.35228434355180016,0.2398577650016231,0.19771175613035527,0.2629099845371829
030102020203030201_pdb,std,0.2980236632191098,0.35596216182108614,0.44155672056897793,0.23927473861568013,0.22398571718897056,0.34144388921183627
020202010101010301_pdb,mean,0.9571991343372203,0.9117827144455493,0.983501531556699,0.7119037295006846,0.6755893467312664,0.9917569281699833
020202010101010301_pdb,max,2.3426226222558455,2.485108646350852,2.065790557867561,1.5045006258664801,2.0112120503905877,2.7196358928627316
020202010101010301_pdb,min,0.30146593124608395,0.2565879268634332,0.1968736072634269,0.1781761196026661,0.17582985270598137,0.2034678095041061
020202010101010301_pdb,std,0.3009134817278644,0.34249804129915834,0.31256337204666385,0.22186891926543692,0.25543028716128197,0.4176084974087217
020301010103040102_pdb,mean,1.0470061077693484,1.0248271293400448,1.0500767938849374,0.7075217879273502,0.7738866510466622,0.9267625942695265
020301010103040102_pdb,max,2.2553369043561493,2.7848924451660637,2.372948683738843,1.5867594090617914,1.6257969406653836,2.5785433321785796
020301010103040102_pdb,min,0.3061482296424473,0.2620548235559394,0.3654239570333524,0.27429440743399214,0.2178808677234646,0.26240198399004816
